1|Качели|Жан Оноре Фрагонар|1767|https://uploads7.wikiart.org/images/jean-honore-fragonard/the-swing-1767.jpg!Large.jpg|«Качели» – не просто самое известное, а поистине знаковое произведение Жана Оноре Фрагонара. Мы произносим «Фрагонар» и подразумеваем «Качели» – и наоборот. Тем удивительнее, что писать картину на этот пикантный сюжет заказчик поначалу предлагал совсем другому художнику.*Один из богатейших финансистов Франции барон Сен-Жюльен однажды захотел сделать приятное своей любовнице. Прямо в их тайное гнёздышко для свиданий он пригласил художника, как раз находившегося в зените славы после успешного представления на Салоне картины на религиозную тему «Чудо в часовне Св.Женевьевы», – Габриеля Франсуа Дуайена. Нимало не смущаясь неприличием ситуации, Сен-Жюльен стал излагать идею: «Хочу, чтобы вы изобразили мадам на качелях, которые раскачивает епископ. Ну, а меня разместите на холсте так, чтобы я мог лицезреть ножки этого очаровательного создания!»*Дуайен буквально оцепенел от вопиющей непристойности предложения, как вдруг его осенило: ведь можно переадресовать заказ Фрагонару. Дуайена коробила незаслуженная, как ему казалось, популярность Фрагонара, и, отсылая заказчика к нему, Дуайен таким изощрённым способом демонстрировал свою высокомерную брезгливость, возможно, даже хотел унизить самолюбие конкурента. Однако история расставила приоритеты с точностью до наоборот: имя и творчество Дуайена теперь известны разве что знатокам, в то время как «Качели» Фрагонара воспринимаются как настоящий символ французской культуры.*Много лет назад Фрагонар уже писал галантную сценку под названием «Качели». В то время он был учеником Франсуа Буше и стремился во всём подражать своему блестящему наставнику. Сравнивая ранние и поздние «Качели», можно увидеть, как возросло мастерство Фрагонара, насколько изощрённее стали его композиционные возможности, виртуознее кисть, изысканнее колорит.*На фоне густой растительности сада парит на качелях круглолицая красавица. Некто неопределённого возраста – возможно, слуга или даже муж кокетки – тянет за верёвку, раскачивая качели, а с другой стороны, за живой изгородью притаился её счастливый любовник. Пикантность ситуации не только в том, что он наблюдает изящные ножки, белые чулки и даже красную подвязку на одном из них, но и в том, что раскачивающий качели о присутствии рядом возможного соперника даже не догадывается. Куст шиповника надёжно скрывает его от посторонних глаз, а стоящий на пьедестале скульптурный амур приложил палец к губам, выражая этим своё полное содействие влюблённым. Исходя из подобной расстановки действующих лиц, картину стали называть «Счастливые возможности качелей».*Всё здесь проникнуто током стиля рококо. И всё подчинено характерным для рококо причудливо изогнутым линиям: пенится кружевами бело-розовое платье, напоминающее облако, изящно изгибаются ветви деревьев и даже туфелька, похоже, летит по витиеватой рокайльной траектории. Мы произносим «рококо» – и сразу же рисуем в уме «Качели». Мы говорим «Счастливые возможности…» – и подразумеваем «Фрагонар».
2|Пастушка|Жан Оноре Фрагонар|1750-1752|https://www.chitalnya.ru/upload3/392/b54021bb7f6281dd7d425f98a4739b84.jpg|В 1715 году во Франции умирает Людовик XIV, Король Солнце, и на престол восходит его пятилетний правнук Людовик XV. Регентом при короле становится племянник покойного монарха Филипп Орлеанский. Пышность залов Версаля, бесконечные церемонии и помпезные действа утомили высший свет Франции. Аристократии захотелось камерности, уюта, простых человеческих удовольствий. Парадные залы заменили на будуары, наступил галантный век.И в этом заключено главное отличие барокко от рококо. Драматизм и религиозные сюжеты сменили пасторальные сценки. Рококо - это светское искусство, картины полны жизнерадостности, кругом любовь и веселье. Это такой идеалистический взгляд аристократии на сельскую жизнь. Здесь вы не увидите работающих крестьян, прекрасные пастухи и пастушки в нарядной одежде музицируют и веселятся на лоне природы.*Любовь, праздник, шалости и флирт - вот чем наполнены легкие жанровые работы художников эпохи.В работах Фрагонара тот же набор буколически-галантных, театрализованных персонажей эпохи рококо: прекрасные садовницы, пастушки, купидоны, аллегорические фигуры, олицетворяющие искусства или времена суток, Венеры и Дианы. Те же сочетание чисто декоративной красоты (некоторые из его работ служили картонами для гобеленов), свободы воображения, легкости кисти и изящества с развлекательным и условно-поверхностным характером образов и самого живописного языка.
3|Ученье|Жан Оноре Фрагонар|1769| https://cvetamira.ru/gallery/images/image-by-item-and-alias?item=Iscusstvo49&dirtyAlias=7b94d357bc-18.jpg|Эта картина известна также под названием «Портрет дамы в образе музы Науки», полотно входит в серию портретов «Фантастические фигуры», созданных живописцем в конце 1760-х годов под влиянием творчества Тьеполо и Рембрандта (иногда цикл этих портретов именуют «Экспрессивные головы») — погрудные изображения старцев в плащах, фантастических одеяниях. Это не портреты, а образы, выражающие определённые состояния души. 
4|После бури|И.К. Айвазовский|1854|https://portrets.ru/ajvazovskij-kartiny/83/ajvazovskij-posle-buri.jpg|Картина Айвазовского "После бури" была написана в 1854 году. Работа находится в Харьковском художественном музее, г.Харьков.*Художник всегда начинал писать картину с изображения неба или, как он любил говорить, - воздуха. И как бы ни был велик холст, он заканчивал эту часть картины в один сеанс, не отходя от холста иногда по двенадцать часов кряду. Этим достигалось ощущение особого единства цвета, воздушной атмосферы, убедительности и правдивости в ее передаче. В мастерской художника обычно стояло несколько картин – законченных и только начатых.Но завершенные работы не задерживались долго, на них всегда имелись покупатели.*Многие его картины, изображающие восходы, закаты, лунные ночи, морские бури, воспринимаются как музыкальные или стихотворные импровизации.
5|Ночь на море|И.К. Айвазовский|Год создания неизвестен|https://portrets.ru/ajvazovskij-kartiny/90/noch-na-more-ajvazovskij-kartina.jpg|Изображение морских пейзажей является своеобразным культом в творчестве Ивана Айвазовского, и в этом гению нет равных. На всех полотнах художника главный акцент всегда сфокусирован на море. Все остальное – люди, корабли, здания на заднем фоне – лишь служит гармоничным дополнением сюжета, создавая антураж. Так и на картине Айвазовского «Ночь на море» все внимание сосредоточено на природной стихии.*Картина Айвазовского «Ночь на море» считается одной из самых сильных его работ. На полотне изображена луна, проглядывающая сквозь тучи, чтобы осветить морским путникам дорогу. А беспокойная, выплескивающаяся из берегов вода, буквально наполняется ее свечением. Этот свет пролит и на тучи, благодаря чему морской пейзаж получился более насыщенным. Айвазовский, изображая море, любил играть со светом, задавая тон всему полотну, придавая ему определенного настроения. Этот прием позволяет передавать особенную красоту поверхности воды, очерчивать объем волн, что неспешно перекатываются в водных просторах.*Корабль плавно рассекает воду в направлении места своего прибытия. Художник изобразил его вдалеке, чтобы придать морскому пространству эффект бесконечности. Луна же служит главным ориентиром для корабля, направляя его движение и сопровождая на протяжении всего путешествия, словно верный спутник.*Лаконичные цвета создают цельный колорит полотна. Живописец избрал небольшую палитру, с помощью которой у него получилось реалистично воссоздать ночной пейзаж и передать состояние природы. Этот пейзаж передает великую мощь и красоту природной стихии, в руках которой маленький кораблик превращается в беззащитную игрушку. Он в любую секунду может стать жертвой всепоглощающего моря. Айвазовский заставляет задуматься над этим, прочувствовать всю силу природы. А если присмотреться внимательнее, то можно даже ощутить, как по коже пробегает легкий ветерок, подгоняющий волны на картине.
6|Нева|И.К. Айвазовский|Год создания неизвестен|https://portrets.ru/ajvazovskij-kartiny/75/kartina-ajvazovskogo-neva-opisanie.jpg|Изображение морских пейзажей является своеобразным культом в творчестве Ивана Айвазовского, и в этом гению нет равных. На всех полотнах художника главный акцент всегда сфокусирован на море. Все остальное – люди, корабли, здания на заднем фоне – лишь служит гармоничным дополнением сюжета, создавая антураж. Так и на картине Айвазовского «Ночь на море» все внимание сосредоточено на природной стихии.Картина Айвазовского «Нева» считается одной из самых сильных его работ.
7|Вечер на море|И.К. Айвазовский|1869|http://ayvazovskiy.su/wp-content/uploads/2017/01/1354812807-0331439.jpg|Пейзаж «Вечер на море» принадлежит кисти русского живописца-мариниста армянского происхождения Ивана Константиновича Айвазовского, академика и почетного члена Императорской Академии художеств, а также Академий художеств в Риме, Париже, Амстердаме, Флоренции и Штутгарте.*С малых лет у Ивана Константиновича было три любви: Крым, Черное море и живопись. В детстве будущий мастер мог часами смотреть на море. Где бы ни путешествовал художник, он всегда возвращался в милую сердцу, родную Феодосию.*Большая часть из 6000 картин, написанных Иваном Айвазовским за 60 лет творчества, посвящена морю. Он писал его на рассвете и на закате, солнечным днем и глубокой ночью, в грозу и в ясную погоду. Палитра художника насчитывала не слишком много красок. Для каждой картины он выбирал 3—5 основных и с их помощью создавал тысячи удивительных оттенков, поразительно реалистично показывал глубину моря, бескрайнюю синеву неба, воздушность белых облаков и тяжесть грозовых туч.*Живописец не перегружал холст красками. Он виртуозно владел разными техниками наложения мазка, приемами лессировки, поэтому ясное небо у него выходило воздушным и легким, бушующий океан получался тяжелым и глубоким, спокойное море — прозрачным и чистым.*Айвазовский крайне редко писал с натуры. Он считал невозможным написать с натуры молнию или блики солнца на воде, а вот впечатления об увиденном помогали позднее воспроизвести пейзаж.*Художник писал быстро, вдохновенно и не отходил от мольберта, пока не заканчивал картину. Не в его характере было годами корпеть над одним полотном. Благодаря этому его картины сложно подделать — инфракрасный анализ покажет, что на фальшивых холстах краски высыхали неравномерно. Ученик мастерской Куинджи Аркадий Рылов вспоминал как Айвазовский на глазах учащихся «с нуля» создавал картину: «Один час пятьдесят минут тому назад был чистый холст, теперь на нём бушует море».*Творчество Айвазовского относится к романтическому направлению русской живописи. Особенно это характерно для картин, созданных в 50—60-х годах XIX века. Мастер старался в сюжетах о природе выделять не типичные ее черты, а редкие и необычные явления, подмечать красоту момента.*Картина «Вечер на море» относится к периоду расцвета мастерства художника. В это время живописец окончательно утвердился в реалистичной манере письма. Лучи закатного солнца на холсте сияют и переливаются нежными золотисто-розовыми тонами так, что зритель почти физически ощущает их ласковое тепло. Морская гладь, покрытая легкой рябью, меняет цвет от нежно-голубого до глубокого синего. Движение волн кажется практически осязаемым. Как и для всех полотен Айвазовского, относящихся к этому этапу творчества, для данного пейзажа характерна слитная эмалевая поверхность письма.
8|Осень в Мурнау |В.В. Кандинский|1908|https://lermontovgallery.ru/upload/medialibrary/e23/e23320e109205034b896e01fc69acfd0.jpg|«Осень в Мурнау» принадлежит к циклу картин, посвященных видам живописного городка Мурнау, расположенного неподалеку от Мюнхена в так называемых Баварских Альпах. Ниже мы расскажем еще об одной работе из этой серии, которая была продана на аукционе за внушительную сумму. Кандинский снимал в течении нескольких лет в этой местности дом и приглашал в него будущих известных абстракционистов. Именно там художнику впервые придут идеи, которые затем лягут в основу русского абстракционизма. И эти идеи уже начали проявляться в картинах о Мурнау: Кандинский переходит все к более яркой и плохо сочетаемой палитре, характерной для экспрессионистов, и все более уходит от предметности. Так, в работе «Осень в Мурнау» горный пейзаж со спускающейся вниз дорогой все еще узнаваем, но деревья, горы и облака приобретают уже условные очертания, а листва и другие элементы написаны в экспрессивной манере.
9|Первая абстрактная акварель|В.В. Кандинский|1910|https://lermontovgallery.ru/upload/medialibrary/1b1/1b17756cdca549e02e32db3c5e4573be.jpg|Абстракции и сегодня многие скептики не могут понять и считают мазней, неумением рисовать, а не полноценным искусством. Однако за переходом от предметов к беспредметности стоит нечто большее. В частности, у Кандинского еще с детства была синестезия — явление, которое не относится к патологии, но характерно для немногих людей. Проявляется оно так: при воздействии на один орган чувств автоматически реагирует другой орган чувств. Например, каждый звук у человека ассоциируется с конкретным цветом или при воспоминании событий он ощущает конкретные вкусы. Кандинский еще с детства слышал какое-то странное шипение, когда смешивал краски. А во взрослом возрасте на опере Вагнера при звучании разных музыкальных инструментов у него вдруг начали вставать перед глазами все его краски, а в уме бешено рисовались разнообразные линии.
10|Импровизация 10|В.В. Кандинский|1910|https://cameralabs.org/media/camera/aprel/4aprel/20_ec827ce5148c7f01e6bd3105d3824b36.jpg|Абстрактные образы и цветовая гамма предлагают зрителю самому додумывать смысл. В этой ранней абстракции художник еще ищет свой особый стиль, потому и назвал ее «Импровизация».
